Current (mA),Peak Wavelength (nm),Peak Power (dBm)
60.00,974.6350,-9.72
60.10,974.6120,-10.91
60.20,974.6270,-9.06
60.30,974.7100,-8.70
60.40,974.6730,-8.69
60.50,974.6730,-8.22
60.60,974.6950,-8.03
60.70,974.7400,-8.53
60.80,974.6200,-7.36
60.90,974.6350,-7.70
61.00,974.7030,-6.84
61.10,974.7030,-7.07
61.20,974.7030,-6.44
61.30,974.7330,-6.49
61.40,974.7400,-6.70
61.50,974.6420,-6.63
61.60,974.6120,-6.87
61.70,974.6650,-6.07
61.80,974.6650,-6.33
61.90,974.7700,-6.36
62.00,974.7030,-5.04
62.10,974.7480,-5.61
62.20,974.7700,-5.34
62.30,974.6950,-5.14
62.40,974.7400,-4.77
62.50,974.6880,-5.38
62.60,974.6270,-5.13
62.70,974.6270,-4.84
62.80,974.7030,-4.75
62.90,974.7180,-4.63
63.00,974.7480,-5.07
63.10,974.6500,-4.54
63.20,974.7700,-4.59
63.30,974.6950,-4.34
63.40,974.7030,-4.26
63.50,974.7030,-4.36
63.60,974.7480,-4.61
63.70,974.6730,-3.80
63.80,974.6500,-3.54
63.90,974.6570,-4.39
64.00,974.7400,-3.43
64.10,974.6500,-4.09
64.20,974.7100,-3.84
64.30,974.6880,-3.35
64.40,974.7100,-3.13
64.50,974.7480,-3.24
64.60,974.6880,-2.99
64.70,974.7400,-3.05
64.80,974.6050,-3.72
64.90,974.7250,-3.20
65.00,974.6800,-2.30
65.10,974.7400,-2.73
65.20,974.6420,-3.40
65.30,974.7630,-2.64
65.40,974.7780,-2.55
65.50,974.7030,-2.58
65.60,974.7550,-2.36
65.70,974.7100,-1.88
65.80,974.7250,-2.08
65.90,974.7330,-2.18
66.00,974.7330,-2.17
66.10,974.7100,-1.97
66.20,974.6570,-2.28
66.30,974.7100,-1.67
66.40,974.7180,-1.86
66.50,974.7330,-1.65
66.60,974.6420,-2.12
66.70,974.6120,-1.68
66.80,974.7330,-1.58
66.90,974.7180,-1.60
67.00,974.6880,-2.02
67.10,974.7330,-1.29
67.20,974.6950,-1.42
67.30,974.7180,-1.04
67.40,974.7100,-1.37
67.50,974.7030,-2.95
67.60,974.6950,-0.85
67.70,974.7180,-1.11
67.80,974.7250,-1.08
67.90,974.6650,-2.13
68.00,974.7930,-0.76
68.10,974.6880,-1.20
68.20,974.6270,-1.61
68.30,974.6650,-1.21
68.40,974.7250,-0.76
68.50,974.7100,-0.80
68.60,974.7330,-0.63
68.70,974.6120,-0.35
68.80,974.7400,-0.73
68.90,974.7850,-0.42
69.00,974.8080,-1.03
69.10,974.6570,-1.19
69.20,974.6880,0.01
69.30,974.7700,-0.35
69.40,974.7630,-0.87
69.50,974.7030,-1.42
69.60,974.7700,-0.45
69.70,974.7400,-0.47
69.80,974.6800,-0.09
69.90,974.6570,-0.24
70.00,974.7550,-0.10
70.10,974.7480,0.07
70.20,974.7100,0.20
70.30,974.7630,-0.12
70.40,974.7250,0.39
70.50,974.7700,-0.38
70.60,974.6570,-3.03
70.70,974.8080,-0.32
70.80,974.7930,0.22
70.90,974.7700,-0.61
71.00,974.7180,0.06
71.10,974.7180,0.44
71.20,974.7930,0.59
71.30,974.6350,-1.16
71.40,974.7930,0.57
71.50,974.6730,-1.54
71.60,974.6880,-2.00
71.70,974.7480,0.09
71.80,974.7400,0.48
71.90,974.7400,0.37
72.00,974.7480,-0.33
72.10,974.7550,0.16
72.20,974.6730,-1.46
72.30,974.7400,-0.13
72.40,974.6500,-0.65
72.50,974.7180,-0.74
72.60,974.7480,0.77
72.70,974.7480,1.11
72.80,974.6420,-1.07
72.90,974.7180,-0.63
73.00,974.7700,0.29
73.10,974.7850,0.57
73.20,974.7480,-0.27
73.30,974.7550,-0.59
73.40,974.7700,0.85
73.50,974.7480,-1.19
73.60,974.7330,-0.38
73.70,974.7700,1.30
73.80,974.7480,-0.55
73.90,974.7330,-0.84
74.00,974.6800,-0.67
